回別,当選日,ナンバーズ3抽選数字,ナンバーズ4抽選数字
第1回,1994年10月7日,191,1149
第2回,1994年10月14日,988,7921
第3回,1994年10月21日,194,0097
第4回,1994年10月28日,105,0171
第5回,1994年11月4日,592,0265
第6回,1994年11月11日,792,5482
第7回,1994年11月18日,708,3950
第8回,1994年11月25日,234,7507
第9回,1994年12月2日,243,2664
第10回,1994年12月9日,340,2436
第11回,1994年12月16日,326,0254
第12回,1994年12月23日,247,9722
第13回,1994年12月30日,229,4673
第14回,1995年1月6日,743,1409
第15回,1995年1月10日,019,6419
第16回,1995年1月13日,179,0524
第17回,1995年1月17日,475,8697
第18回,1995年1月20日,291,3062
第19回,1995年1月24日,852,1013
第20回,1995年1月27日,502,2264
